2010-10-07 17:19:30 Notice: Notice (1024): Please change the value of 'Security.salt' in app/config/core.php to a salt value specific to your application in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/cake/libs/debugger.php, line 684]
2010-10-07 17:19:30 Notice: Notice (1024): Please change the value of 'Security.cipherSeed' in app/config/core.php to a numeric (digits only) seed value specific to your application in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/cake/libs/debugger.php, line 688]
2010-10-07 17:24:31 Notice: Notice (1024): Please change the value of 'Security.salt' in app/config/core.php to a salt value specific to your application in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/cake/libs/debugger.php, line 684]
2010-10-07 17:24:31 Notice: Notice (1024): Please change the value of 'Security.cipherSeed' in app/config/core.php to a numeric (digits only) seed value specific to your application in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/cake/libs/debugger.php, line 688]
2010-10-07 17:53:29 Notice: Notice (1024): Please change the value of 'Security.salt' in app/config/core.php to a salt value specific to your application in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/cake/libs/debugger.php, line 684]
2010-10-07 17:53:29 Notice: Notice (1024): Please change the value of 'Security.cipherSeed' in app/config/core.php to a numeric (digits only) seed value specific to your application in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/cake/libs/debugger.php, line 688]
2010-10-07 22:34:32 Notice: Notice (8): Undefined variable: link in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/views/clients/index.ctp, line 2]
2010-10-07 22:35:04 Notice: Notice (8): Undefined variable: pagination in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/views/clients/index.ctp, line 8]
2010-10-07 22:35:35 Notice: Notice (8): Undefined variable: link in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/views/clients/index.ctp, line 21]
2010-10-07 22:36:05 Notice: Notice (8): Undefined variable: link in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/views/clients/index.ctp, line 21]
2010-10-07 22:37:46 Notice: Notice (8): Undefined variable: link in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/views/clients/index.ctp, line 2]
2010-10-07 22:40:12 Notice: Notice (8): Undefined property: ClientsController::$Search in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/controllers/clients_controller.php, line 7]
2010-10-07 22:49:14 Notice: Notice (8): Undefined property: ClientsController::$Search in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/controllers/clients_controller.php, line 7]
2010-10-08 10:22:13 Notice: Notice (8): Use of undefined constant CACHE_CHECK - assumed 'CACHE_CHECK' in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/cake/dispatcher.php, line 388]
2010-10-08 10:22:13 Notice: Notice (8): Use of undefined constant CACHE_CHECK - assumed 'CACHE_CHECK' in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/cake/libs/controller/controller.php, line 404]
2010-10-08 10:22:14 Notice: Notice (8): Use of undefined constant CONFIG_CRON_INTERVAL - assumed 'CONFIG_CRON_INTERVAL' in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/controllers/components/cron.php, line 23]
2010-10-08 10:22:14 Notice: Notice (8): Trying to get property of non-object in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/controllers/components/configuration.php, line 34]
2010-10-08 10:26:49 Notice: Notice (8): Use of undefined constant CACHE_CHECK - assumed 'CACHE_CHECK' in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/cake/dispatcher.php, line 388]
